Corrente	errore_C	M_1	M_2	M_3	M_4	M_5	errlett_M
0	0	164.03	164.01	164.06	164.04	164.02	0.01
0.5	0.15	164.36	164.365	164.42	164.38	164.385	0.01
1	0.15	164.85	164.8	164.87	164.82	164.79	0.01
1.5	0.15	165.29	165.24	165.31	165.32	165.27	0.01
2	0.15	165.78	165.74	165.83	165.85	165.73	0.01
2.5	0.15	166.215	166.25	166.28	166.235	166.27	0.01
3	0.15	166.76	166.73	166.74	166.8	166.72	0.01
3.5	0.15	167.18	167.18	167.2	167.21	167.21	0.01
4	0.15	167.695	167.62	167.65	167.70	167.66	0.01
4.5	0.15	168.12	168.05	168.13	168.11	168.08	0.01
